subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Geography,2007,Ranging poles are important in chain and prismatic compass surveys to determine?,the adjustment to correct a closure error,the total length of all offsets,the length of the base line,three points along a straight line,B
Geography,2007,A slope is said to be even when the contours are?,equally spaced,concentric,closely spaced,irregularly spaced,A
Geography,2007,Chemical weathering in tropical Africa creates domed rock outcropping called?,volcanic rocks,escarpments,scarp,inselbergs,D
Geography,2007,The greatest volcanic regions of Africa are found in?,Sudan and Ethopia,the Maghrib,Kenya and Tanzania,the Cameroons,C
Geography,2007,The south west of Nigeria is a major destination for internal migrants because the area is?,highly urbanized and has many industries,very close to the coast and has many industries,well endowed with petroleum resources and free from political crises,agriculturally rich and has a good climate,A
Geography,2007,The narrow neck of water separating Africa from Europe in the northwest is the?,Cape of Good Hope,Suez Canal,Strait of Gibealtar,Canaray Island,B
Geography,2007,The highest peak in Nigeria can be found on the?,Oban Hills,Western Uplands,Adamawa Highland,Jos Plateau,C
Geography,2007,The exploitation of timber in equatorial Africa causes?,soil erosion,environmental pollution,less rainfall run-off,high cost of forest products,A
Geography,2007,One of the areas noted for paddy rice production in Nigeria is?,Eungu Scarpland,Obudu Plateau,Badeggi,Kaduna,C
Geography,2007,An example of intensive farming system in Nigeria is?,pastoral farming,crop rotation,market gardening,mixed farming,B
Geography,2007,The ocean current that affects the climate of the Atlantic coast from South Africa to Southern Angola is the?,Mozambique,Benguela,Canary,South Equatorial,B
Geography,2007,A major gold mining centered in South Africa is?,Kimberley,Kuruman,Newcastle,Klerkdorp,D
Geography,2007,A country that is connected to Nigeria's electricity grid is?,Cote d'Ivoire,Ghana,Mauritania,Niger Republic,D
Geography,2007,The highlands of East Africa attract settlers because of their?,agricultural potentials,good transportation network,educational potentials,tourist potentials,D
Geography,2007,The soil type that is predominant in the Niger-Benue trough is?,sandy,clayey,alluvial,loamy,C
Geography,2007,An example of argillaceous rocks is?,chalk,coal,grphite,shale,A
Geography,2007,The rock type whose principal constituents can be seen without magnification is?,limestone,basalt,sandstone,granite,D
Geography,2007,"In the broadest sense, the two major types of ecosystems are?",terrestrial and arboreal,aquatic and vegetal,terrestrial and aquatic,aquatic and arboreal,A
Geography,2007,A doline is associated with a?,marine platform,granitic upland,Karst valley,rocky desert,C
Geography,2007,The two potent human factors that destabilize ecosystems are?,afforestation and logging,monocropping and reforestation,reforestation and mining,monocropping and mining,C
Geography,2007,The weight of water vapour contained in a given volume of air is referred to as?,absolute humidity,specific humidity,relative humidity,vapour pressure,C
Geography,2007,A piece of evidence that confirms that the earth is spherical is the?,standard time,solar system,earth's orbit,moon's eclipse,D
Geography,2007,Soil texture is determined primarily by?,profile horizons,major components,particle sizes,nutrient status,C
Geography,2007,The two primary causes of ocean currents are?,differential algae development and sunlight penetration,differential salinity and temperature variation,variation in evaporation and coral development,location of settlements and sea-level pressure,B
Geography,2007,Soil conservation is achieved through?,"mulching, terrace farming and tree-felling","sensible tillage, tree-felling and bush burning","scientific farming, crop rotation and bush buring","sensible tillage, crop rotation and mulching",D
Geography,2007,The Sudan savannah vegetation is associated with the?,tropical monsoon,sub-tropical dry summer climate,hot semi-desert,tropical dry and wet climate,D
Geography,2007,A weather element controlled mainly by latitude is?,temperature,humidity,rainfall,cloud cover,A
Geography,2007,Which of the following is of great importance to the existence of plants?,Metal scarps,Industrial effluent,Carbon (IV) oxide,Carbon (II) oxide,D
Geography,2007,Which of the following is likely to be found in an oasis in the Sahara Desert?,Raffia palm,Oil palm,Date palm,Dum palm,C
Geography,2007,A major characteristic of an urban settlement is that it is?,industrialized,limited in function,homogenous,heterogeneous,D
Geography,2007,Birth and death rates are often stated as the number of cases per?,1 000 per year,1 000 000 per year,10 per year,100 per year,A
Geography,2007,Weber's theory of industrial location was based on?,nearness to market,nearness to raw materials,nearness to source of power,least transport cost,D
Geography,2007,A poor settlement on the edge of a city is known as a?,shanty town,ghetto,new town,slum,B
Geography,2007,A desert country which has a high population density supported by irrigation is?,Kuwait,Sudan,Namibia,Egypt,D
Geography,2007,The speed and capacity of a train are influenced by the?,length of the railway line,the edge of the railway line,width of the railway gauge,depth of the railway line,C
Geography,2007,"The population of a country in 1990 and 2005 is given as 46, 850, 112 and 58, 855, 827 respectively. The approximate annual population increase is?",650 381,700 381,750 381,800 381,C
Geography,2007,Which of the following sets of settlements is influenced by the presence of water body?,"lagos , Lokoja and Baga","Warri, Jos and Yola","Kano, Port Harcourt and Eungu","Benin, Sokoto and Calabar",A
Geography,2007,The categorization of manufacturing industries as traditional crafts and factory industry is based on?,the nature of final product,labour intensity,the form of techonology,capital intensity,A
Geography,2007,Which of the following factors may lead to an area being densely populated?,High plateaux,Lowland plains,Rugged monutains,Active volcanoes,B
Geography,2007,"[Figure required]
From the diagram above the textural class that can hold the greatest amount of moisture is",Sand loam,Sand,Clay,Clay loam,D
Geography,2007,"[Figure required]
From the diagram above the amount of moisture retained by clay loam soil is approximately",150 mm,50 mm,200 mm,100 mm,A
Geography,2007,"[Figure required]
Which of the following ethnic groups is mainly found in the area marked I?",The Ijaw,The Kanuri,The Tiv,The yoruba,C
Geography,2007,"[Figure required]
The major export crop cultivated in the area marked III is",groundnut,cocoa,rubber,sugarcane,A
Geography,2007,"[Figure required]
From the diagram above the structure labelled Y is a",sill,batholith,hill,lopolith,B
Geography,2007,"[Figure required]
From the diagram above the structured marked X is a",ridge,laccolith,vent,dyke,B
Geography,2007,"[Figure required]
The area likely to experience seasonal flooding lies",Above q 120-metre contour,Between 105 and 120 metre contours,Between 105 and 135 metre contours,Below a 105 metre contour,D
Geography,2007,"[Figure required]
Kondo is situated mainly on a",Hill,Scarp,Ridge,Gap,D
Geography,2007,"[Figure required]
The slope east of Parko-Gbo Road is",Convex,Gentle,Concave,Steep,D
Geography,2007,"[Figure required]
Abag and Lobodo are most likely to be",Educational settlements,Mining settlements,Commercial settlements,Industrial settlements,B
Geography,2007,"[Figure required]
The total length of the railway line is approximately",11.5km,9.5km,12.5km,10.5km,A
Geography,2003,The first stage in a compass survey is to?,mark each traverse station with a peg,determine the magnetic inclination of the areas,take a walk around the filed amd make notes,determine the preparedness of the team,A
Geography,2003,"If the distance between two places on a map is 2cm while the distance on land is 4km, the scale of the map is?",1: 50 000,1: 100 000,1: 150 000,1; 200 000,D
Geography,2003,"If an event that starts at 11:00 am at station X appears on the screen at 5.00 am (same day) at station Z, the longitudinal difference between the two stations is?",75°,90°,120°,165°,B
Geography,2003,The existence of the Namib Desert can be partly attributed to?,coastal deforestation,the cold Benguela Current,persistent offshore winds,exculsive fishing,B
Geography,2003,The two most important determinants of air temperature of a region are?,evaporation and sunshine hours,wind and air mass,latitude and altitude,rainfall and humidity,C
Geography,2003,"Quartz, feldspar and mica are three principal minerals that can easily be seen in?",basalt,coal,granite,limestone,D
Geography,2003,The two areas of the world where cool ocean currents have contributed to the development of deserts along the coastal fringes are?,Namibia and Bangladesh,Somalia and Western Australia,California and Ghana,Morocco and Peru,B
Geography,2003,The duration of sunshine is measured by the?,aneriod barometer,Campbell-Stokes recorder,cup-anemometer,minimum-maximum thermometers,B
Geography,2003,The rock with the least carbon content is?,coal,sandstone,marble,lignite,B
Geography,2003,"In a karst topography, the visible features on the landscape include?",sinkhole,tunnel,stalactite,stalagmite,B
Geography,2003,A landform that may result mainly from wind erosion is?,barchan,seif dune,wadi,deflation hollow,D
Geography,2003,"In humid tropical regions, the major soil type is?",podzol,chernmozem,latosol,lithosol,C
Geography,2003,Bush burning affects the atmosphere directly by ?,killing soil microbes,adding to carbon(IV) oxide accumulation,leaving the land surface bare,adding ashes to the soil,B
Geography,2003,A process whereby a plant community is replaced by another is known as?,colonization,succession,competition,consolidation,B
Geography,2003,The most visible form of soil erosion is?,wind erosion,splash erosion,sheet erosion,gully erosion,D
Geography,2003,Softwood from coniferous forests is mainly used as raw material for the production of?,pulp and paper,animal feed and fibre,non-alcoholic beverages,poles and planks,A
Geography,2003,"In a soil profile, the C-horizon can be described as the?",topmost layer that may include organic litter,zone relatively unaffected by soil-forming processes,portion of the soil affected by leaching,zone of accumulation rich in bases and organic matter,B
Geography,2003,One of the consequences of the polar ice-caps melting is the?,submergence of existing coast lands,emergence of submerged island,increase in global temperature,drier conditions in the tropical areas,C
Geography,2003,The factor that best explains the large concentration of population in Java is?,fertile soils,large mineral deposits,nearness to the sea,industrial agglomeration,A
Geography,2003,The most important characteristic of a population that enhances rapid economic development is the?,total size,level of education,age structure,sex ratio,C
Geography,2003,The pattern of rural population distribution in a region is determined mainly by the?,quality of the land,size of the land,quality of the population,size of the population,A
Geography,2003,The crossing of a boundary between two countries by a migrant is best described as?,emigration,immigration,out-migration,international migration,D
Geography,2003,Urban growth in sub-Saharan Africa has been enhanced mostly by?,natural population growth,rural-urban migration,agricultural development,housing development,C
Geography,2003,One major characteristic of rural settlements is that they?,are heterogeneous,are homogeneous,are large in size,have many functions,B
