question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
MTH-0003,JAMB,Mathematics,Geometry and Mensuration,Area of Triangles,medium,2025,,"In triangle PQR, M lies on QR such that PM is perpendicular to QR, with \(QM = 11\text{ cm}\), \(MR = 9\text{ cm}\) and \(PM = 13\text{ cm}\). Find the area of triangle PQR.",,\(143\text{ cm}^2\),\(120\text{ cm}^2\),\(130\text{ cm}^2\),\(117\text{ cm}^2\),C,"Area \(= \frac{1}{2} \times \text{base} \times \text{height}\), using the full base \(QR = QM + MR = 11 + 9 = 20\text{ cm}\) and height \(PM = 13\text{ cm}\) (since \(PM\) is perpendicular to \(QR\)). Area \(= \frac{1}{2} \times 20 \times 13 = 130\text{ cm}^2\).",mensuration|area|triangle|jamb|2025,past-question,active
MTH-0004,JAMB,Mathematics,Sets and Binary Operations,Equivalent Sets,easy,2025,,"The set \(\{1, 2, 3, 4, 5\}\) is equivalent to",,"\(\{2, 3, 1, 4\}\)","\(\{1, 2, 3, 4, 5, 5\}\)","\(\{1, 2, 3, 4\}\)","\(\{4, 3, 1, 5, 2\}\)",D,"Two sets are equivalent if they have the same number of elements (same cardinality), regardless of order. \(\{4, 3, 1, 5, 2\}\) has 5 distinct elements, exactly matching \(\{1, 2, 3, 4, 5\}\), just reordered.",sets|equivalent-sets|jamb|2025,past-question,active
MTH-0005,JAMB,Mathematics,Algebraic Processes,Simultaneous Equations,medium,2025,,Solve the simultaneous equations \(\frac{x}{2} - \frac{y}{5} = 1\) and \(y - \frac{x}{3} = 8\).,,"\(x = 10,\ y = -6\)","\(x = 10,\ y = 6\)","\(x = 6,\ y = 10\)","\(x = 10,\ y = 6\)",C,"Multiply the first equation by 10: \(5x - 2y = 10\). From the second, \(x = 3y - 24\). Substituting: \(5(3y - 24) - 2y = 10\), so \(15y - 120 - 2y = 10\), \(13y = 130\), \(y = 10\), then \(x = 3(10) - 24 = 6\).",algebra|simultaneous-equations|jamb|2025,past-question,active
MTH-0006,JAMB,Mathematics,Algebraic Processes,Linear Inequalities,medium,2025,,Solve the inequality \(2x + 3 \gt 5x + 8\).,,\(x \gt 1\frac{2}{3}\),\(x \gt -1\frac{2}{3}\),\(x \lt -1\frac{2}{3}\),\(x \lt 1\frac{2}{3}\),C,"\(2x + 3 \gt 5x + 8\) gives \(-5 \gt 3x\) (subtracting \(2x\) and \(8\) from both sides), so \(x \lt -\frac{5}{3} = -1\frac{2}{3}\).",algebra|inequalities|jamb|2025,past-question,active
MTH-0007,JAMB,Mathematics,Algebraic Processes,Binary Operations,medium,2025,,Given that \(a * b = \frac{a+b}{ab} + (a - b)\). Find the value of \(3 * 2\).,,\(-6\),\(\frac{11}{6}\),\(\frac{6}{11}\),\(-1\frac{5}{6}\),B,"Substitute \(a=3, b=2\): \(\frac{3+2}{3 \times 2} + (3-2) = \frac{5}{6} + 1 = \frac{11}{6}\).",algebra|binary-operations|jamb|2025,past-question,active
MTH-0008,JAMB,Mathematics,"Number, Fractions, and Approximation",Negative Indices,easy,2025,,Simplify \(125^{-\frac{1}{3}} \times 49^{-\frac{1}{2}} \times 10^0\).,,\(\frac{1}{35}\),\(\frac{1}{350}\),\(350\),\(35\),A,"\(125^{-\frac{1}{3}} = \frac{1}{5}\) (cube root of 125 is 5), \(49^{-\frac{1}{2}} = \frac{1}{7}\) (square root of 49 is 7), and \(10^0 = 1\). Multiplying: \(\frac{1}{5} \times \frac{1}{7} \times 1 = \frac{1}{35}\).",indices|surds|jamb|2025,past-question,active
MTH-0009,JAMB,Mathematics,Coordinate Geometry and Trigonometry,Midpoint of a Line,easy,2025,,"Find the coordinates of the midpoint of line \(PQ\) given \(P(-3, 4)\) and \(Q(5, 6)\).",,"\((1, 4)\)","\((4, 1)\)","\((5, 1)\)","\((1, 5)\)",D,"Midpoint \(= \left(\frac{x_1+x_2}{2}, \frac{y_1+y_2}{2}\right) = \left(\frac{-3+5}{2}, \frac{4+6}{2}\right) = (1, 5)\).",coordinate-geometry|midpoint|jamb|2025,past-question,active
MTH-0010,JAMB,Mathematics,Coordinate Geometry and Trigonometry,Trigonometric Ratios,medium,2025,,"Given that \(\cos A = \frac{12}{13}\) for \(0 \leq A \leq 90^\circ\), find \(\tan A\).",,\(\frac{5}{12}\),\(\frac{12}{13}\),\(\frac{5}{13}\),\(\frac{13}{12}\),A,"With \(\cos A = \frac{12}{13}\) (adjacent/hypotenuse), the opposite side is \(\sqrt{13^2 - 12^2} = \sqrt{25} = 5\). So \(\tan A = \frac{\text{opposite}}{\text{adjacent}} = \frac{5}{12}\).",trigonometry|ratios|jamb|2025,past-question,active
MTH-0011,JAMB,Mathematics,Geometry and Mensuration,Construction,medium,2025,,"Which of the following angles cannot be constructed using a protractor, a compass, and a sharpened pencil?",,\(135^\circ\),\(90^\circ\),\(145^\circ\),\(60^\circ\),C,"Classical ruler-and-compass constructions can only produce angles built from bisecting \(60^\circ\) and \(90^\circ\) (and their combinations), such as \(30^\circ, 45^\circ, 60^\circ, 90^\circ, 105^\circ, 120^\circ, 135^\circ, 150^\circ\). \(145^\circ\) is not obtainable this way.",geometry|construction|jamb|2025,past-question,active
MTH-0012,JAMB,Mathematics,Statistics and Probability,Permutations,medium,2025,,Find the number of permutations of the letters of the word SCHOOL.,,\(600\),\(360\),\(480\),\(300\),B,SCHOOL has 6 letters with the letter O repeated twice. Number of arrangements \(= \frac{6!}{2!} = \frac{720}{2} = 360\).,statistics|permutations|jamb|2025,past-question,active
