question_id,subject,year,topic,question_text,option_a,option_b,option_c,option_d,correct_option,assessment,verdict
COM-0684,Commerce,2021,Production and Insurance,"NAME INSURED AMOUNT(₦) ACTUAL VALUE(₦) ACTUAL LOSS(₦) Mr. P Mr. K Mr. R 25,000 30,000 40,000 100,000 120,000 150,000 30,000 40,000 50,000 Use the table above to answer questions 27 and 28 If Mr. P takes a fire insurance policy with average clause, his compensation will be","₦7,500","₦5,000","₦70,000","₦75,000",A,likely fine - data appears inline,
MTH-0329,Mathematics,2016,Statistics and Probability,"mark 2 3 4 Frequency 4 4 y The table above shows the frequency distribution of marks obtained by a group of students. If the total mark is 48, find the value of y.",6,8,7,5,C,NO data found - probably unanswerable,
MTH-0385,Mathematics,2017,Geometry and Mensuration,"In the diagram above MN is a chord of a circle KMN centre O and radius 10cm. If < MON = 140°, find, to the nearest cm, the length of the chord MN.",10cm,19cm,17cm,12cm,B,likely fine - data appears inline,
MTH-0453,Mathematics,2019,Statistics and Probability,The marks scored by 30 students in a Mathematics test are recorded in the table below: Scores (Mark) 0 1 2 3 4 5 No of students 4 3 7 8 6 2 What is the total number of marks scored by the children?,82,15,63,75,D,likely fine - data appears inline,
MTH-0566,Mathematics,2022,Statistics and Probability,"Mr Adu spends his annual salary on food(f), rent(r), car maintenance, gifts(g), savings(s) and some miscellaneous (m) as indicate in the table below: F R C G S M 28% 15% 20% 14% 10% 13% If the above information is represented on a pie chart. What angle represents his spending on food?",108.5,100.8,98.8,120.5 D. 120.5,B,NO data found - probably unanswerable,
MTH-0610,Mathematics,2023,Statistics and Probability,The ages of students in a small primary school were recorded in the table below. Age 5 - 6 7 - 8 9 -10 Frequency 29 40 38 Estimate the mean,7.7,7.5,7.8,7.6,A,NO data found - probably unanswerable,
MTH-0625,Mathematics,2023,Statistics and Probability,The ages of students in a small primary school were recorded in the table below. Age 5-6 7-8 9-10 Frequency 29 40 38 Estimate the median.,7.725,6.225,7.5,6.5,A,NO data found - probably unanswerable,
MTH-0739,Mathematics,,Statistics and Probability,"Using the same bar chart as above (mark 3, freq 8; mark 4, freq 12; mark 5, freq 20), determine the mean score of the students who took the mathematics test.",4.5,4.3,4.2,4.6,B,NO data found - probably unanswerable,
PHY-0192,Physics,2011,Electricity and Magnetism,"In the circuit above, three resistors, 2Ω, 4Ω and 12Ω are connected in parallel and a 12V battery is connected across the combination. The current flowing through the 12Ω resistors is",14.4 A,1.0 A,3.2 A,9.6 A,B,NO data found - probably unanswerable,
PHY-0570,Physics,2019,Properties of Matter and Fluids,The diagram above represents the stress-strain graph of a loaded wire. Which of these statements is correct?,"At J, the wire becomes plastic",J is the yield point,L is the elastic limit,"At K, the wire breaks",B,NO data found - probably unanswerable,
