question_id,subject,question_text,option_a,option_b,option_c,option_d,correct_option
ACC-0345,Accounting,Accounting information is used by investors and creditors of a company to predict,future cash flows of the company,future tax payments of the company,potential merger candidates for the company,appropriate remunerations for the company's staff,A
ACC-0598,Accounting,The major distinguishing element between the final accounts of a partnership and a sole trader is the,drawings account,appropriation account,capital account,creditors account,B
ACC-0323,Accounting,Sales ledger control account contains the total amount in respect of,creditors,debtors,investors,shareholders,B
BIO-0407,Biology,Which of the following animals has homodont dentition?,Rat,Man,Lizard,Pigeon,C
BIO-0684,Biology,The blood vessel which carries blood from the alimentary canal to the liver is the,hepatic artery,hepatic vein,hepatic portal vein,mesenteric artery,C
BIO-0533,Biology,Cold blooded animals are referred to as,poikilothermic,homothermic,polythermic,homeostatic,A
BIO-0649,Biology,The smallest living organism which share the characteristics of both living and non-living matter are,bacteria,fungi,viruses,protozoa,C
BIO-0686,Biology,People who suck petrol with their mouths run the risk of increasing in their blood the concentration of,iron,lead,calcium,magnesium,B
BIO-0654,Biology,The process of walking is under the control of the part of the brain called,optic lobe,olfactory lobe,cerebellum,medulla oblongata,C
BIO-0560,Biology,Long neck in giraffe is used to illustrate the theory of,use and disuse,origin of species,origin of life,natural selection,D
BIO-0657,Biology,The biological association that contributes directly to succession in a community is,competition,predation,parasitism,commensalism,A
BIO-0470,Biology,"The possession of scales, laying of eggs with shells and bony structure of the head are characteristics shared by",birds and reptiles,fishes and birds,reptiles and fishes,birds and molluscs,A
BIO-0658,Biology,Floating microscopic heterotrophs are mostly grouped as,phytoplankton,zooplankton,microbes,nekton,B
BIO-0660,Biology,"For growth to occur in organisms, the rate of",food storage must be low,catabolism must exceed that of anabolism,anabolism must exceed that of catabolism,food storage must be high,C
BIO-0706,Biology,The mutation theory of organic evolution was propounded by,Gregor Mendel,Hugo de Vries,Jean Lamarck,Charles Darwin,B
COM-0462,Commerce,The type of activity which turns processed raw materials into consumer and industrial goods is described as,extractive,manufacturing,constructive,processing,B
COM-0540,Commerce,A form of money that has gone out of use is?,paper money,bank money,commodity money,foreign money,C
ECO-0478,Economics,"If the price of a ball point pen falls from N1.00 to N0.60 and the quantity demanded increases from 200 to 300, the point elasticity of demand is equal to?",1.25,0.80,0.50,0.40,A
ECO-0636,Economics,A company's expenditure on raw materials is regarded as?,explicit cost,implicit cost,prime cost,average cost,C
ECO-0638,Economics,A situation in which a commodity is sold abroad below its cost of production in the home country is known as?,dumping,counter trade,bilateral trade,trade liberalization,A
ECO-0643,Economics,Plywood industries are often located near the source of?,finance,labour,power supply,raw materials,D
ECO-0649,Economics,Crude petroleum is a good example of a?,lasting asset,wasting asset,synthetic product,costless resources,B
ECO-0648,Economics,One of the techniques of monetary control used by the Central Bank of Nigeria is?,selective credit control,budget deficit,foreign exchange control,monitoring the general price level,A
ECO-0525,Economics,The Economic Commission for Africa was set up by the?,UNO,ECOWAS,OAU,IMF,A
ECO-0482,Economics,Concentrating industries in one place is advantageous because there are gains in terms of?,external economies,internal economies,economies of scale,cost economies,A
ENG-1010,English,Choose the word that does not have the same vowel sound as the others?,sun,shun,son,short,D
GEO-0405,Geography,Which of the following countries has the least potential for the production of steel?,Japan,Germany,Cuba,India,C
GEO-0605,Geography,Lines joining places of equal sunshine hours on a map are called?,isobars,isotherms,isohels,isohytes,C
GEO-0004,Geography,The main advantage of the chain survey over the prismatic compass survey is that the former,yields relatively more accurate results,involves highly more portable equipment,does not require a base map,closes its boundaries with no correction,A
GEO-0016,Geography,The main use of the Abney Level in surveying is to determine the,angle of inclination,relative location,area coverage,spot height,A
GEO-0003,Geography,A typical example of landforms produced by marine erosion is a,beach,spit,mud-flat,stack,D
GEO-0035,Geography,"When the gradient of a river channel changes from a steep to a gentle angle, the main activity of the river will be",depositing,eroding,deepening,terracing,A
GEO-0050,Geography,Urban floods are mainly caused by,construction of dams and barrages,clearance of vegetation on farmlands,blockage of drains and waterways,establishment of shelter belts,C
GEO-0063,Geography,The vegetation of the warm Temperate Eastern Margin is characterized by,evergreen shrubs and thickets,mixed deciduous and coniferous forests,mixed tropical rainforests and monsoonal forests,mixed coniferous and broad-leaved evergreen forests,B
GEO-0061,Geography,Which of the following is a major environmental problem in heavily industrialized regions?,Accelerated erosion,Water pollution,Frost damage,Acid rain,D
