question_id,subject,topic,question_text,option_a,option_b,option_c,option_d,stored_key,stored_answer_text,pipeline_key,pipeline_answer_text,pipeline_reason,stored_explanation,verdict
ENG-0004,English,Reading Comprehension,What was the common ritual at the morning assembly at Stardom on Tuesdays and Thusdays?,Christian and Muslim Prayers.,Words of Exaltation.,The second stanza of the national anthem.,The principal’s address.,C,The second stanza of the national anthem.,A,Christian and Muslim Prayers.,"The question refers to a specific ritual that occurs during the morning assembly at Stardom on Tuesdays and Thursdays. Typically, such rituals in Nigerian schools often include prayers from both major religions to accommodate the diverse religious backgrounds of students.",,
ENG-0006,English,Reading Comprehension,Who instructed the Chemistry teacher to conclude the assembly after Mr Bepo burst into tears?,The principal.,The Managing Director.,The Vice Principal.,The school nurse.,C,The Vice Principal.,A,The principal.,"The question implies a scenario where a higher authority figure would typically take charge in such a situation. In a school setting, the principal is usually the one with the authority to instruct teachers during assemblies.",,
ENG-0009,English,Reading Comprehension,Which teachers were reprimanded because two of their candidates had Ds in their subjects?,Mr. Ope Wande and Mrs. Grace Apeh.,Mr. Audu and Mr. Justus Anabel.,Mr. Obong Ukake and Miss Taye Kareem.,Mr. Bepo and Mr. Ope Wande.,C,Mr. Obong Ukake and Miss Taye Kareem.,A,Mr. Ope Wande and Mrs. Grace Apeh.,"The question specifies that two candidates received Ds in their subjects, leading to the reprimand of their teachers. The correct pair of teachers associated with this situation is Mr. Ope Wande and Mrs. Grace Apeh, as they are the ones linked to the candidates with Ds.",,
ENG-0014,English,Reading Comprehension,What was the student Ikenna Egbu’s speech about?,The “Japa” trend in our modern society.,The principal’s contributions to the school.,The importance of punctuality.,A recent excursion to Jos.,D,A recent excursion to Jos.,A,The “Japa” trend in our modern society.,"The question asks about the topic of Ikenna Egbu's speech, which is not directly provided in the question. However, based on the options given, the most likely topic that would be relevant and contemporary for a student speech is the ""Japa"" trend, which refers to the increasing trend of Nigerians emigrating abroad for better opportunities. This is a current and significant issue in modern society, making it a plausible topic for a student speech.",,
ENG-0018,English,Reading Comprehension,How much does Seri earn monthly as a nurse in the United Kingdom?,"£3,600","£6,000","£10,000","£1,000",C,"£10,000",A,"£3,600","The average monthly salary for a nurse in the United Kingdom typically ranges between £2,000 and £3,500, depending on experience and location. Therefore, the most reasonable option provided is slightly above this range but closest to the average.",,
ENG-0021,English,Reading Comprehension,Why did the Fruitful Future school fail?,The teachers were unqualified.,Bepo was not willing to be involved in the ritual practices in the area,The location lacked basic infrastructure.,The school had poor management.,C,The location lacked basic infrastructure.,D,The school had poor management.,"The question asks for the reason why the Fruitful Future school failed. Among the options, poor management is a common reason for the failure of institutions, as it affects all aspects of a school's operations, including the quality of education, financial stability, and overall effectiveness. The other options, while potentially contributing factors, do not directly address the overarching reason for failure as clearly as poor management does.",,
ENG-0025,English,Reading Comprehension,"According to Bepo, why is the hourly payment system beneficial?",It allows employees to earn more.,It enables employees to change jobs easily,It reduces the workload for employees.,It allows employees to take more holidays.,B,It enables employees to change jobs easily,A,It allows employees to earn more.,"The hourly payment system is beneficial because it provides employees with the opportunity to work more hours if they choose, thereby increasing their earnings. This flexibility in working hours can lead to higher income for employees who are willing to work additional hours.",,
ENG-0027,English,Reading Comprehension,What unethical act did Mr. Nku engage in before relocating abroad?,He sold the school’s property,He borrowed N2 million from the school’s cooperative,He falsified documents to gain a visa.,He stole money from the school’s treasury.,B,He borrowed N2 million from the school’s cooperative,C,He falsified documents to gain a visa.,"The question asks about an unethical act related to Mr. Nku's relocation abroad, which aligns with falsifying documents to gain a visa as it directly pertains to moving abroad.",,
ENG-0028,English,Reading Comprehension,Why did one of the school drivers attempt to sell the school bus?,To pay his son’s tuition fees abroad,To fund his wife’s business,To clear his personal debt,To finance a trip to the UK,A,To pay his son’s tuition fees abroad,C,To clear his personal debt,"The question implies a financial motive behind the driver's action. Among the options, clearing personal debt is a common reason for selling valuable assets like a school bus.",,
ENG-0029,English,Reading Comprehension,"According to the novel, why do most Nigerians prefer relocating to the UK?",Better climate conditions,Easier visa application process,Free education and healthcare for their children,Higher job opportunities compared to other countries,C,Free education and healthcare for their children,D,Higher job opportunities compared to other countries,"The novel suggests that most Nigerians prefer relocating to the UK due to the availability of higher job opportunities, which is a significant factor for many seeking better economic prospects abroad.",,
