question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ACC-J00001,JAMB,Accounting,,,medium,1994,,Assigning revenues to the accounting period in which goods were sold or services rendered and expenses incurred is known as,,passing of entries,consistency convention,matching concept,adjusting for revenue,,,jamb-archive|needs-key,past-question,draft
ACC-J00002,JAMB,Accounting,,,medium,1994,,The accounting convention which states that profit must not be recognized until realized while all losses should be adequately provided for it termed,,materiality,objectivity,consistency,conservatism,,,jamb-archive|needs-key,past-question,draft
ACC-J00003,JAMB,Accounting,,,medium,1994,,Antics Electronic Company recently bought six generators. Which of the following is the correct method of recording this transaction?,,Debit generator account and credit cash account,Debit purchases account and credit cash account,Debit cash accounts and credit purchases account,Debit cash account and credit generator account,,,jamb-archive|needs-key,past-question,draft
ACC-J00004,JAMB,Accounting,,,medium,1994,,"When a business incurs labour cost in installing a fixed asset, the cost is treated as",,additional cost to the asset,business wages and salaries,installation cost of the asset,business cost of the asset,,,jamb-archive|needs-key,past-question,draft
ACC-J00005,JAMB,Accounting,,,medium,1994,,What is the cardinal rule of the double entry system?,,Debit the increasing account and credit the decreasing account,Debit the receiving account and credit the giving account,Debit the asset account and credit the liability account,Debit the revenue account and credit the expenditure account,,,jamb-archive|needs-key,past-question,draft
ACC-J00006,JAMB,Accounting,,,medium,1994,,"Mallam Gambo bought a freezer for his shop costing ₦10,500. In recording, he debited office expenses account and credited the bank account. What book-keeping error has he committed?",,Error of commission,Error of reversal of entries,Error of principle,Compensating error,,,jamb-archive|needs-key,past-question,draft
ACC-J00007,JAMB,Accounting,,,medium,1994,,The use of the folio in the ledger is for,,referencing purposes,particulars of the transaction,the account titles,only credit items,,,jamb-archive|needs-key,past-question,draft
ACC-J00008,JAMB,Accounting,,,medium,1994,,The suspense account is used to correct book-keeping error where the,,amount involved is quite significant,item involved is not material,item involved is unknown,error does not affect the agreement of the trial balance,,,jamb-archive|needs-key,past-question,draft
ACC-J00009,JAMB,Accounting,,,medium,1994,,The discount column of a three column cashbook is not balanced off but periodically transferred to the discount account because discounts,,are not important in cashbooks,are cash items only,do not form part of double entry,are used for bank reconciliation,,,jamb-archive|needs-key,past-question,draft
ACC-J00010,JAMB,Accounting,,,medium,1994,,When is a petty cash account debited?,,When the fund is established and every time money is spent,When the fund is established and every time it is replenished,When the fund is established and when the size of the float is decreased,Every time money is drawn from the petty cash,,,jamb-archive|needs-key,past-question,draft
ACC-J00011,JAMB,Accounting,,,medium,1994,,"When preparing a bank reconciliation statement, which of the following is deducted from the balance per bank statement?",,Bank charges,Uncleared cheques,Returned cheques,unpresented cheques,,,jamb-archive|needs-key,past-question,draft
ACC-J00012,JAMB,Accounting,,,medium,1994,,The financial position of an organization at a particular time can be ascertained from the,,statement of sources and application of funds,statement of retained earnings,balance sheet,profit and loss account,,,jamb-archive|needs-key,past-question,draft
ACC-J00013,JAMB,Accounting,,,medium,1994,,"Given; Purchases = ₦20,000 Sales = ₦40,000 Carriage inwards = ₦5,000 Carriage outwards = ₦5,000 Opening stock = ₦10,000 Closing stock = ₦5,000 What is the cost of goods sold?",,"₦30,000","₦25,000","₦20,000","₦15,000",,,jamb-archive|needs-key,past-question,draft
ACC-J00014,JAMB,Accounting,,,medium,1994,,The net profit or loss for the year is determined in profit and loss account after,,deducting purchases from sales,deducting cost of goods sold from sales and adding administrative expenses,adding commissions received to gross profit,eliminating all expenses from gross profit and adding any other income,,,jamb-archive|needs-key,past-question,draft
ACC-J00015,JAMB,Accounting,,,medium,1994,,"If a bad debt previously written off is subsequently repaid, the amount collected is recorded as an",,income in the profit and loss account,income in the balance sheet,additional cash in the profit and loss account,expense in the balance sheet,,,jamb-archive|needs-key,past-question,draft
ACC-J00016,JAMB,Accounting,,,medium,1994,,"Beginning and ending accounts receivable balances were ₦8,000 and ₦15,000 respectively. If collections from customers during the period were ₦36,000, then total sales on account would be",,"₦23,000","₦29,000","₦36,000","₦43,000",,,jamb-archive|needs-key,past-question,draft
ACC-J00017,JAMB,Accounting,,,medium,1994,,From which of the following sources are creditors control account most likely to be posted?,,supplier's invoices,cash disbursements journal,subsidiary debtors ledger,purchases journal,,,jamb-archive|needs-key,past-question,draft
ACC-J00018,JAMB,Accounting,,,medium,1994,,Which of the following categories of labour cost will be classified as direct?,,accountant's salary,factory workers' salary,managing director's salary,cashier's salary,,,jamb-archive|needs-key,past-question,draft
ACC-J00019,JAMB,Accounting,,,medium,1994,,The major difference between the receipt and payment account and the income and expenditure account is that while the former,,"is kept by the treasurer, the latter is not","deals with all receipts and payments in the year regardless of the time it relates to, the latter is for just that year","is a T-account, the latter is not","is not in the ledger, the latter is",,,jamb-archive|needs-key,past-question,draft
ACC-J00020,JAMB,Accounting,,,medium,1994,,The net profit from a trading account of a non-profit making organization would be treated as income in the,,income and expenditure account,receipt and payment account,balance sheet,statement of affairs,,,jamb-archive|needs-key,past-question,draft
ACC-J00021,JAMB,Accounting,,,medium,1994,,Goodwill appears in the books of a business only if it has been,,purchased at a certain price,raised in connection with the admission of a new partner,raised to account for the true value of a business on the death of a partner,raised in order to prevent the balance sheet showing that the business is insolvent,,,jamb-archive|needs-key,past-question,draft
ACC-J00022,JAMB,Accounting,,,medium,1994,,"Kayode, Akpan and Kachalla are in partnership. Their respective capital accounts had the following balances: ₦40,000, ₦50,000 and ₦70,000. The partners agree to admit Wamo as a new partner with a one-fifth interest in the partnership capital in exchange for ₦50,000 cash. Wamo's equity in the resulting partnership is",,"₦32,000","₦40,000","₦42,000","₦50,000",,,jamb-archive|needs-key,past-question,draft
ACC-J00023,JAMB,Accounting,,,medium,1994,,"when shares issued are paid for, accounting entry required is",,debit bank or cash account and credit share capital and/or premium account,credit bank or cash account and debit share capital and/or premium account,debit shares account and credit capital account,credit shares account and debit capital account,,,jamb-archive|needs-key,past-question,draft
ACC-J00024,JAMB,Accounting,,,medium,1994,,A limited liability company has an authorized share capital of ₦50 million split into 100 million shares 80 million share was offered for subscription at 60k per share payable in full on application. These have been fully subscribed and issued What is the nominal value of each share?,,₦2,₦0.80,₦0.60,₦0.50,,,jamb-archive|needs-key,past-question,draft
ACC-J00025,JAMB,Accounting,,,medium,1994,,A limited liability company has an authorized share capital of ₦50 million split into 100 million shares 80 million share was offered for subscription at 60k per share payable in full on application. These have been fully subscribed and issued What is the issued capital,,₦40,₦48,₦50,₦80,,,jamb-archive|needs-key,past-question,draft
ACC-J00026,JAMB,Accounting,,,medium,1994,,An advantage of using accounting ratios is that they,,can be easily calculated,facilitate decision making,are stipulated by law,shows error and fraud,,,jamb-archive|needs-key,past-question,draft
ACC-J00027,JAMB,Accounting,,,medium,1994,,The expenditure on a good or services which is consumed either immediately or within a current accounting period is called,,fixed expenditure,capital expenditure,annual expenditure,recurrent expenditure,,,jamb-archive|needs-key,past-question,draft
ACC-J00028,JAMB,Accounting,,,medium,1994,,The receipt from a special tax levy to pay maturing interest obligation are recorded in,,capital fund project,Debt Service Fund,Tax Assessment Fund,Special Revenue Fund,,,jamb-archive|needs-key,past-question,draft
ACC-J00029,JAMB,Accounting,,,medium,1994,,The cash bass of accounting requires the recognition of revenue only when they are,,due,earned,paid,received,,,jamb-archive|needs-key,past-question,draft
ACC-J00030,JAMB,Accounting,,,medium,1994,,The amount of individual items on a government budget is called,,vote,deposit,loan,grant,,,jamb-archive|needs-key,past-question,draft
ACC-J00031,JAMB,Accounting,,,medium,1995,,which of the following factors has aided the development of accounting?,,The emergence of nation states,The discovery of mineral resources in commercial quantity,the growth in size of businesses and separation of ownership and management,the development and management of sophisticated monetary system,,,jamb-archive|needs-key,past-question,draft
ACC-J00032,JAMB,Accounting,,,medium,1995,,Which of the following concept stipulates that accounting profit is the difference between revenue and expenses?,,Accrual concept,Conservatism concept,Prudence concept,Materiality concept,,,jamb-archive|needs-key,past-question,draft
ACC-J00033,JAMB,Accounting,,,medium,1995,,An effective accounting system should provide information,,on new product and methods,for cutomer feed back and requirement,on internal and external reporting for managers and third parties,"for promoters, directors, labour union and distributors",,,jamb-archive|needs-key,past-question,draft
ACC-J00034,JAMB,Accounting,,,medium,1995,,"Given: Motor van, ₦3,600, Premises, ₦5,000; Loan from R. Nwaeke, ₦1,000; Cash at bank; ₦1,650; stock of goods ₦4,800; Creditors, ₦2,560; Cash in hand, ₦250 and debtors ₦6,910. calculate the capital figure.",,"₦19,650","₦18,650","₦17,850","NN16,850",,,jamb-archive|needs-key,past-question,draft
ACC-J00035,JAMB,Accounting,,,medium,1995,,Which of the following transaction is BEST recorded in the general journal?,,Payment of rent with cheque,Purchase of stock with cash,Purchase of an asset on credit terms,Transfer of cash from head office branch,,,jamb-archive|needs-key,past-question,draft
