question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ACC-J00632,JAMB,Accounting,,,medium,1995,,Equity shareholders' fund is,,₦133 000,₦120 000,₦113 000,₦100 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00633,JAMB,Accounting,,,medium,1995,,"If a 10% dividend is approved, what is the dividend payable to ordinary shareholders?",,₦13 000,₦11 300,₦10 000,₦8 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00634,JAMB,Accounting,,,medium,1995,,Accumulated depreciation on the asset as at 31/12/81 was,,₦2 487 500 .00,₦2 736 250 . 00,₦4 511 192.00,₦4 975 000 .00,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00635,JAMB,Accounting,,,medium,1995,,Trade creditors account was maintained at 25% of the capital. What was the balance in the trade creditors account as at 31/12/92?,,₦29 800,₦29 500,₦29 400,₦29 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00636,JAMB,Accounting,,,medium,1995,,"What was the balance showed wages, ₦2 500 and a note stated that ₦500 wages were due but unpaid when preparing final accounts and loss account with",,₦3 000 and show wages accrued ₦500 in the balance sheet,₦2 000 and show wages accrued ₦500 in the balance sheet,₦3 000 and show wages perpaid ₦500 in the balance sheet,₦2000 and show wages paid in advance ₦500 in the balace sheet,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00637,JAMB,Accounting,,,medium,1995,,"The trial balance showed wages, ₦2 500 and a note stated that ₦500 wages, were due but unpaid when preparing final accounts and loss account with",,₦3000 and show wages accrued ₦500 in the balance sheet in the balance sheet,₦2 000 and show wages accured ₦500 in the balance sheet,₦3000 and show wages prepaid ₦500 in the balance sheet,₦2000 and show wages paid in advance ₦500 in the balance sheet,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00638,JAMB,Accounting,,,medium,1997,,What is the balance of the bank account shown above?,,₦88 500 debit,₦88 500 credit,₦59 410 credit,₦59 410 debit,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00639,JAMB,Accounting,,,medium,1997,,Additional information : 1: 1: 93 31 : 12 : 93 N N Subscription in arrears 300 450 Furniture 7000 Subscription received in advance 500 400 Rate owing 50 60 Subscription relating to the accounting year 1993 in the income and expenditure account is,,₦15 050,₦14 550,₦14 300,₦13 400,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00640,JAMB,Accounting,,,medium,1997,,Accumulated fund on 1st January 1993 is,,₦8 570,₦8 470,₦850,₦7 520,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00641,JAMB,Accounting,,,medium,1997,,What is the working capital?,,₦12 000,₦11 000,₦8 000,₦4 000,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00642,JAMB,Accounting,,,medium,1997,,The acid test ratio in the company is,,1:1,1:2,2:3,3:2,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00643,JAMB,Accounting,,,medium,1997,,"The Current account above had some errors in the arrangement of the accounts for Musa, Kalu and Lawal The Correct closing balance for Musa's current account is",,₦36 000 Credit,₦16 600 credit,₦16 600 debit,₦1 800 credit,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00644,JAMB,Accounting,,,medium,1997,,"The Current account above had some errors in the arrangement of the accounts for Musa, Kalu and Lawal] The correct closing balance for lawal's current account is",,₦21 100 debit,₦14 740 debit,₦14 740 credit,₦540 credit,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00645,JAMB,Accounting,,,medium,1999,,Use the information below to answer the question The quick ratio is,,0. 82: 1,0. 91:1,0.95:1,1:53:1,,,jamb-archive|needs-key|needs-figure,past-question,draft
ACC-J00646,JAMB,Accounting,,,medium,1999,,Determine the owners equity,,"₦200,000","₦215,000","₦275,000","₦755,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00709,JAMB,Biology,,,medium,1990,,The part labelled 3 is the,,leaf scar,lenticle,auxillary bud,girdle scar,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00710,JAMB,Biology,,,medium,1990,,Which part of the twig produces auxins?,,4,3,2,1,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00711,JAMB,Biology,,,medium,1990,,The type of placentation shown in the figure above is a,,parietal,marginal,axile,free-central,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00712,JAMB,Biology,,,medium,1990,,What stage during cell division is represented in the figure above?,,Prophase,Metaphase,Anaphase,Telophase,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00713,JAMB,Biology,,,medium,1990,,Which of the following is an omnivore?,,Praying mantis,Hawk,Mouse,Grasshopper,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00714,JAMB,Biology,,,medium,1990,,Which structure is the glomerulus?,,5,3,2,1,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00715,JAMB,Biology,,,medium,1990,,"If the blood is too concentrated, more water is absorbed from?",,5,4,3,1,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00716,JAMB,Biology,,,medium,1990,,All the cell bodies in the spinal cord are found in,,1,2,3,4,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00717,JAMB,Biology,,,medium,1990,,"In a reflex action, impulse flows from",,1 to 2,2 to 1,4 to 1,4 to 2,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00718,JAMB,Biology,,,medium,1991,,Which of the following structure is associated with aerobic respiration?,,1,2,3,4,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00719,JAMB,Biology,,,medium,1991,,The structure labelled 5 is used for,,protein synthesis,energy production,secretion,excretion,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00720,JAMB,Biology,,,medium,1991,,"After 30 minutes, the level of sugar solution in the above figure will?",,rise in x only,rise in Y only,be the same in X and Y,fall in Y,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00721,JAMB,Biology,,,medium,1991,,The process by which water moves from X to Y through the semi-permeable membrane is called,,diffusion,osmosis,active diffusion,osmoregulation,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00722,JAMB,Biology,,,medium,1991,,The above diagram represents a competitive interaction between organism in communities I and II. Which of the following statements is CORRECT?,,The population of I was higher than II at the beginning of the experiments,II was wiped out from the enviroment at the end of the experiments,The population of II was always lower than that of,The population of I was lower at the end of the experiment than at the beginning,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00723,JAMB,Biology,,,medium,1991,,The structure labelled 4 is for,,feeding,attachment,excretion,respiration,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00724,JAMB,Biology,,,medium,1991,,"As the tadpole develops, the structure labelled 5",,grows longer,becomes shorter,becomes the hind legs,remains unchanged,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00725,JAMB,Biology,,,medium,1991,,"In the digestive system, absorption of nutrient into the blood takes place in the part labeled?",,1,2,3,4,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00726,JAMB,Biology,,,medium,1991,,"The gland which produces trypsin, amylase and lipase is labeled?",,6,4,2,1,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00727,JAMB,Biology,,,medium,1992,,The structure labelled X is used by the organism in the same way as man uses his?,,oesophagus,trachea,stomach,intestine,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00728,JAMB,Biology,,,medium,1992,,The structure labelled Y is the,,food vacuole,nucleolous,macronucleus,contractile vacuole,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00729,JAMB,Biology,,,medium,1992,,The structure labelled 5 is the,,sweat gland,sebaceous gland,blood vessel,nerve fibre,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00730,JAMB,Biology,,,medium,1992,,Melanin and keratin are produced in the part labelled,,2,3,4,5,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00731,JAMB,Biology,,,medium,1992,,The part labelled 3 is the,,cartilage,ligament,synovial fluid,bone,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00732,JAMB,Biology,,,medium,1992,,The function of the part labelled 1 is to,,secrete a fluid which lubricates the joint,attach muscles to the bones at the joint,bend the bones at the joint,hold the joint in place,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00733,JAMB,Biology,,,medium,1992,,Which part of the curve represents the fastest rate of growth?,,K,L,M,N,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00734,JAMB,Biology,,,medium,1992,,The grand period of growth is represented by,,N,M,L,K,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00735,JAMB,Biology,,,medium,1992,,Which level of the pyramid has the least total stored energy?,,E,F,G,H,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00736,JAMB,Biology,,,medium,1992,,Which organism in the pyramid functions as a tertiary consumer?,,Algea,Shark,Tadpole,Tilapia,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00737,JAMB,Biology,,,medium,1993,,Which of the labelled parts is the diastema?,,2,3,4,6,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00738,JAMB,Biology,,,medium,1993,,This lower jaw is typical of a,,sheep,rabbit,dog,cat,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00739,JAMB,Biology,,,medium,1993,,"In H, the cotyledons are carried above the soil because",,the epicotyl grows faster than the hypocotyl,the hypocotyl grows faster than the epicotyl,both grow at the same rate,the epicotyl outgrow the radicle,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00740,JAMB,Biology,,,medium,1993,,The function of the structure labelled G is to,,carry out initial photosynthesis for the seedlings,protect the young leaves from mechanical damage,protect the young leaves from sun light,protect the young leaves from insects pest,,,jamb-archive|needs-key|needs-figure,past-question,draft
BIO-J00741,JAMB,Biology,,,medium,1993,,"In the illustration above, the genotypes of the offsprings are",,1 heterozygous smooth : 2 homozygous smooth : 1 wrinkled,1 homozygous smooth : 2 heterozygous smooth : 1 wrinkled,2 homozygous smooth : 2 wrinkled,3 heterozygous smooth : 2 wrinkled,,,jamb-archive|needs-key|needs-figure,past-question,draft
